ID,Label
12,1
21,1
22,1
38,1
121,1
151,1
165,1
254,1
255,1
256,1
281,1
282,1
313,1
314,1
824,1
825,1
826,1
861,1
862,1
863,1
3799,1
3800,1
3801,1
3802,1
4075,1
4233,1
5034,1
5067,1
5068,1
5069,1
5464,1
5465,1
5466,1
8796,1
8797,1
8844,1
31229,1
37399,1
37400,1
37401,1
52451,1
56747,1
56749,1
56751,1
56833,1
56835,1
78145,1
81937,1
92388,1
92508,1
92631,1
99966,1
99969,1
99972,1
99975,1
100551,1
100554,1
100557,1
100560,1
100563,1
100566,1
113650,1
113651,1
113652,1
113653,1
113654,1
113655,1
113656,1
113657,1
113658,1
113659,1
115575,1
115599,1
128186,1
128187,1
128188,1
128209,1
135133,1
140295,1
140296,1
140297,1
140312,1
140313,1
140404,1
140706,1
140707,1
140708,1
143861,1
143862,1
145181,1
145182,1
146725,1
146726,1
148415,1
148416,1
148417,1
152744,1
153412,1
153413,1
153414,1
153415,1
153416,1
153417,1
153418,1
153419,1
153420,1
160326,1
160327,1
160328,1
161567,1
161579,1
161580,1
161581,1
161753,1
162576,1
162819,1
163238,1
163416,1
163482,1
163483,1
163484,1
163532,1
163533,1
163605,1
163606,1
171703,1
171704,1
171791,1
171792,1
171793,1
174173,1
174174,1
176049,1
176050,1
176051,1
176087,1
176088,1
176089,1
176090,1
176091,1
176092,1
176093,1
176760,1
176948,1
176978,1
176979,1
176980,1
178537,1
178538,1
180812,1
180813,1
180814,1
181196,1
181746,1
181747,1
181818,1
183714,1
187486,1
187511,1
187512,1
187513,1
187969,1
187970,1
187996,1
188971,1
188972,1
192466,1
192467,1
192468,1
198136,1
198137,1
198138,1
198139,1
198140,1
198215,1
198216,1
198323,1
201252,1
201253,1
201254,1
201255,1
201256,1
201257,1
201258,1
201259,1
201268,1
201285,1
201645,1
201650,1
202463,1
202464,1
202465,1
202581,1
202582,1
202583,1
204396,1
210217,1
210219,1
211266,1
211267,1
212644,1
213283,1
213284,1
213285,1
213286,1
213507,1
213508,1
213509,1
213510,1
213511,1
213749,1
213750,1
214257,1
218340,1
218341,1
218342,1
218343,1
218344,1
218345,1
218346,1
218347,1
218361,1
218369,1
218400,1
218435,1
228400,1
228407,1
230852,1
230887,1
230909,1
230910,1
233403,1
237762,1
237763,1
237799,1
237800,1
237801,1
237802,1
237838,1
237839,1
237840,1
237841,1
240393,1
240400,1
240448,1
240450,1
241372,1
241373,1
241374,1
241375,1
248741,1
248743,1
248745,1
248747,1
248749,1
248751,1
248753,1
258788,1
258824,1
258852,1
258853,1
259126,1
270452,1
274228,1
276669,1
277475,1
277484,1
280471,1
280472,1
280473,1
280498,1
280499,1
280500,1
284837,1
284838,1
284839,1
296849,1
296850,1
296851,1
298672,1
298673,1
304399,1
305029,1
307985,1
307986,1
308462,1
317746,1
317747,1
334647,1
334648,1
334649,1
342227,1
342506,1
342507,1
342591,1
342592,1
342649,1
342650,1
344112,1
344120,1
